move_name,move_display_name,move_type,damage_class,power,accuracy,pp
absorb,Absorb,Grass,special,20.0,100.0,25
accelerock,Accelerock,Rock,physical,40.0,100.0,20
acid,Acid,Poison,special,40.0,100.0,30
acid-armor,Acid Armor,Poison,status,,,20
acid-spray,Acid Spray,Poison,special,40.0,100.0,20
acrobatics,Acrobatics,Flying,physical,55.0,100.0,15
acupressure,Acupressure,Normal,status,,,30
aerial-ace,Aerial Ace,Flying,physical,60.0,,20
aeroblast,Aeroblast,Flying,special,100.0,95.0,5
after-you,After You,Normal,status,,,15
agility,Agility,Psychic,status,,,30
air-cutter,Air Cutter,Flying,special,60.0,95.0,25
air-slash,Air Slash,Flying,special,75.0,95.0,15
alluring-voice,Alluring Voice,Fairy,special,80.0,100.0,10
ally-switch,Ally Switch,Psychic,status,,,15
amnesia,Amnesia,Psychic,status,,,20
anchor-shot,Anchor Shot,Steel,physical,80.0,100.0,20
ancient-power,Ancient Power,Rock,special,60.0,100.0,5
apple-acid,Apple Acid,Grass,special,80.0,100.0,10
aqua-cutter,Aqua Cutter,Water,physical,70.0,100.0,20
aqua-jet,Aqua Jet,Water,physical,40.0,100.0,20
aqua-ring,Aqua Ring,Water,status,,,20
aqua-step,Aqua Step,Water,physical,80.0,100.0,10
aqua-tail,Aqua Tail,Water,physical,90.0,90.0,10
arm-thrust,Arm Thrust,Fighting,physical,15.0,100.0,20
armor-cannon,Armor Cannon,Fire,special,120.0,100.0,5
aromatherapy,Aromatherapy,Grass,status,,,5
aromatic-mist,Aromatic Mist,Fairy,status,,,20
assist,Assist,Normal,status,,,20
assurance,Assurance,Dark,physical,60.0,100.0,10
astonish,Astonish,Ghost,physical,30.0,100.0,15
astral-barrage,Astral Barrage,Ghost,special,120.0,100.0,5
attack-order,Attack Order,Bug,physical,90.0,100.0,15
attract,Attract,Normal,status,,100.0,15
aura-sphere,Aura Sphere,Fighting,special,80.0,,20
aura-wheel,Aura Wheel,Electric,physical,110.0,100.0,10
aurora-beam,Aurora Beam,Ice,special,65.0,100.0,20
aurora-veil,Aurora Veil,Ice,status,,,20
autotomize,Autotomize,Steel,status,,,15
avalanche,Avalanche,Ice,physical,60.0,100.0,10
axe-kick,Axe Kick,Fighting,physical,120.0,90.0,10
baby-doll-eyes,Baby-Doll Eyes,Fairy,status,,100.0,30
baddy-bad,Baddy Bad,Dark,special,80.0,95.0,15
baneful-bunker,Baneful Bunker,Poison,status,,,10
barb-barrage,Barb Barrage,Poison,physical,60.0,100.0,10
barrage,Barrage,Normal,physical,15.0,85.0,20
barrier,Barrier,Psychic,status,,,20
baton-pass,Baton Pass,Normal,status,,,40
beak-blast,Beak Blast,Flying,physical,100.0,100.0,15
beat-up,Beat Up,Dark,physical,,100.0,10
belch,Belch,Poison,special,120.0,90.0,10
belly-drum,Belly Drum,Normal,status,,,10
bestow,Bestow,Normal,status,,,15
bide,Bide,Normal,physical,,,10
bind,Bind,Normal,physical,15.0,85.0,20
bite,Bite,Dark,physical,60.0,100.0,25
bitter-blade,Bitter Blade,Fire,physical,90.0,100.0,10
bitter-malice,Bitter Malice,Ghost,special,75.0,100.0,10
blast-burn,Blast Burn,Fire,special,150.0,90.0,5
blaze-kick,Blaze Kick,Fire,physical,85.0,90.0,10
bleakwind-storm,Bleakwind Storm,Flying,special,100.0,80.0,10
blizzard,Blizzard,Ice,special,110.0,70.0,5
block,Block,Normal,status,,,5
blood-moon,Blood Moon,Normal,special,140.0,100.0,5
blue-flare,Blue Flare,Fire,special,130.0,85.0,5
body-press,Body Press,Fighting,physical,80.0,100.0,10
body-slam,Body Slam,Normal,physical,85.0,100.0,15
bolt-beak,Bolt Beak,Electric,physical,85.0,100.0,10
bolt-strike,Bolt Strike,Electric,physical,130.0,85.0,5
bone-club,Bone Club,Ground,physical,65.0,85.0,20
bone-rush,Bone Rush,Ground,physical,25.0,90.0,10
bonemerang,Bonemerang,Ground,physical,50.0,90.0,10
boomburst,Boomburst,Normal,special,140.0,100.0,10
bounce,Bounce,Flying,physical,85.0,85.0,5
bouncy-bubble,Bouncy Bubble,Water,special,60.0,100.0,20
