pokemon_id,pokemon_name,canonical_slug,display_name,species_slug,dexnum_int,order,is_default,base_experience,height,weight,type1,type2,hp,attack,defense,sp_atk,sp_def,speed,total,generation,capture_rate,base_happiness,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,color,shape,habitat,is_baby,is_legendary,is_mythical,region_tag,form_group,is_mega,is_battle_only,evolution_chain_id,evolution_stage,genus_en,flavor_text_en,flavor_text_corpus_en,ability1,ability2,hidden_ability,ability_summary_en,official_artwork_url,artwork_variant_url,sprite_url,image_url,official_pokedex_url
1,bulbasaur,bulbasaur,Bulbasaur,bulbasaur,1,1,1,64.0,7,69,Grass,Poison,45,49,49,65,65,45,318,1,45,70,64.0,Medium Slow,Monster,Plant,87.5,12.5,20,Green,Quadruped,Grassland,0,0,0,None,Standard,0,0,1,0,Seed Pokémon,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,"A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON. It can go for days without eating a single morsel. In the bulb on its back, it stores energy. The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows. It carries a seed on its back right from birth. As it grows older, the seed also grows larger. While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow. BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger. There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger. For some time after its birth, it grows by gaining nourishment from the seed on its back.",Overgrow,Unknown,Chlorophyll,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less. Doubles Speed during strong sunlight.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,https://www.pokemon.com/us/pokedex/bulbasaur
2,ivysaur,ivysaur,Ivysaur,ivysaur,2,2,1,142.0,10,130,Grass,Poison,60,62,63,80,80,60,405,1,45,70,142.0,Medium Slow,Monster,Plant,87.5,12.5,20,Green,Quadruped,Grassland,0,0,0,None,Standard,0,0,1,1,Seed Pokémon,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom. Exposure to sun­ light adds to its strength. Sunlight also makes the bud on its back grow larger. If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom. The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms. There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon. To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower. There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",Overgrow,Unknown,Chlorophyll,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less. Doubles Speed during strong sunlight.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,https://www.pokemon.com/us/pokedex/ivysaur
10195,venusaur-gmax,venusaur-gmax,Venusaur Gmax,venusaur,3,-1,0,236.0,240,10000,Grass,Poison,80,82,83,100,100,80,525,1,45,70,236.0,Medium Slow,Monster,Plant,87.5,12.5,20,Green,Quadruped,Grassland,0,0,0,None,Gigantamax,0,0,1,2,Seed Pokémon,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy. By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power. It is able to con­ vert sunlight into energy. As a result, it is more powerful in the summertime. As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance. There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.",Overgrow,Unknown,Chlorophyll,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less. Doubles Speed during strong sunlight.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10195.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10195.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10195.png,https://www.pokemon.com/us/pokedex/venusaur
3,venusaur,venusaur,Venusaur,venusaur,3,3,1,236.0,20,1000,Grass,Poison,80,82,83,100,100,80,525,1,45,70,236.0,Medium Slow,Monster,Plant,87.5,12.5,20,Green,Quadruped,Grassland,0,0,0,None,Standard,0,0,1,2,Seed Pokémon,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy. By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power. It is able to con­ vert sunlight into energy. As a result, it is more powerful in the summertime. As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance. There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.",Overgrow,Unknown,Chlorophyll,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less. Doubles Speed during strong sunlight.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,https://www.pokemon.com/us/pokedex/venusaur
10033,venusaur-mega,venusaur-mega,Venusaur maleega,venusaur,3,4,0,281.0,24,1555,Grass,Poison,80,100,123,122,120,80,625,1,45,70,281.0,Medium Slow,Monster,Plant,87.5,12.5,20,Green,Quadruped,Grassland,0,0,0,None,Mega,1,0,1,2,Seed Pokémon,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy. By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power. It is able to con­ vert sunlight into energy. As a result, it is more powerful in the summertime. As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance. There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people. A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.",Thick femaleat,Unknown,Unknown,,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10033.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10033.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10033.png,https://www.pokemon.com/us/pokedex/venusaur
4,charmander,charmander,Charmander,charmander,4,5,1,62.0,6,85,Fire,None,39,52,43,60,50,65,309,1,45,70,62.0,Medium Slow,Monster,Dragon,87.5,12.5,20,Red,Upright,Mountain,0,0,0,None,Standard,0,0,2,0,Lizard Pokémon,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail. The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places. The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly. The flame on its tail indicates CHARMANDER's life force. If it is healthy, the flame burns brightly. If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely. The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged. From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",Blaze,Unknown,Solar Power,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less. Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,https://www.pokemon.com/us/pokedex/charmander
5,charmeleon,charmeleon,Charmeleon,charmeleon,5,6,1,142.0,11,190,Fire,None,58,64,58,80,65,80,405,1,45,70,142.0,Medium Slow,Monster,Dragon,87.5,12.5,20,Red,Upright,Mountain,0,0,0,None,Standard,0,0,2,1,Flame Pokémon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.","When it swings its burning tail, it elevates the temperature to unbearably high levels. Tough fights could excite this POKéMON. When excited, it may blow out bluish- white flames. It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins. It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws. If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings. CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color. It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.",Blaze,Unknown,Solar Power,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less. Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,https://www.pokemon.com/us/pokedex/charmeleon
10196,charizard-gmax,charizard-gmax,Charizard Gmax,charizard,6,-1,0,240.0,280,10000,Fire,Flying,78,84,78,109,85,100,534,1,45,70,240.0,Medium Slow,Monster,Dragon,87.5,12.5,20,Red,Upright,Mountain,0,0,0,None,Gigantamax,0,0,2,2,Flame Pokémon,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,"Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely. If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color. Breathing intense, hot flames, it can melt almost any­ thing. Its breath inflicts terrible pain on enemies. It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle. CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe. Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",Blaze,Unknown,Solar Power,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less. Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10196.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10196.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10196.png,https://www.pokemon.com/us/pokedex/charizard
6,charizard,charizard,Charizard,charizard,6,7,1,240.0,17,905,Fire,Flying,78,84,78,109,85,100,534,1,45,70,240.0,Medium Slow,Monster,Dragon,87.5,12.5,20,Red,Upright,Mountain,0,0,0,None,Standard,0,0,2,2,Flame Pokémon,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,"Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely. If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color. Breathing intense, hot flames, it can melt almost any­ thing. Its breath inflicts terrible pain on enemies. It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle. CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe. Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",Blaze,Unknown,Solar Power,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less. Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,https://www.pokemon.com/us/pokedex/charizard
10034,charizard-mega-x,charizard-mega-x,Charizard maleega X,charizard,6,8,0,285.0,17,1105,Fire,Dragon,78,130,111,130,85,100,634,1,45,70,285.0,Medium Slow,Monster,Dragon,87.5,12.5,20,Red,Upright,Mountain,0,0,0,None,Mega,1,0,2,2,Flame Pokémon,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,"Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely. If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color. Breathing intense, hot flames, it can melt almost any­ thing. Its breath inflicts terrible pain on enemies. It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle. CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe. Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",Tough Claws,Unknown,Unknown,Strengthens moves that make contact to 1.33× their power.,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10034.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10034.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10034.png,https://www.pokemon.com/us/pokedex/charizard
