canonical_slug,pokemon_id,slot,ability_name,ability_display_name,is_hidden
bulbasaur,1,1,overgrow,Overgrow,0
bulbasaur,1,3,chlorophyll,Chlorophyll,1
ivysaur,2,1,overgrow,Overgrow,0
ivysaur,2,3,chlorophyll,Chlorophyll,1
venusaur,3,1,overgrow,Overgrow,0
venusaur,3,3,chlorophyll,Chlorophyll,1
charmander,4,1,blaze,Blaze,0
charmander,4,3,solar-power,Solar Power,1
charmeleon,5,1,blaze,Blaze,0
charmeleon,5,3,solar-power,Solar Power,1
charizard,6,1,blaze,Blaze,0
charizard,6,3,solar-power,Solar Power,1
squirtle,7,1,torrent,Torrent,0
squirtle,7,3,rain-dish,Rain Dish,1
wartortle,8,1,torrent,Torrent,0
wartortle,8,3,rain-dish,Rain Dish,1
blastoise,9,1,torrent,Torrent,0
blastoise,9,3,rain-dish,Rain Dish,1
caterpie,10,1,shield-dust,Shield Dust,0
caterpie,10,3,run-away,Run Away,1
metapod,11,1,shed-skin,Shed Skin,0
butterfree,12,1,compound-eyes,Compound Eyes,0
butterfree,12,3,tinted-lens,Tinted Lens,1
weedle,13,1,shield-dust,Shield Dust,0
weedle,13,3,run-away,Run Away,1
kakuna,14,1,shed-skin,Shed Skin,0
beedrill,15,1,swarm,Swarm,0
beedrill,15,3,sniper,Sniper,1
pidgey,16,1,keen-eye,Keen Eye,0
pidgey,16,2,tangled-feet,Tangled femaleeet,0
pidgey,16,3,big-pecks,Big Pecks,1
pidgeotto,17,1,keen-eye,Keen Eye,0
pidgeotto,17,2,tangled-feet,Tangled femaleeet,0
pidgeotto,17,3,big-pecks,Big Pecks,1
pidgeot,18,1,keen-eye,Keen Eye,0
pidgeot,18,2,tangled-feet,Tangled femaleeet,0
pidgeot,18,3,big-pecks,Big Pecks,1
rattata,19,1,run-away,Run Away,0
rattata,19,2,guts,Guts,0
rattata,19,3,hustle,Hustle,1
raticate,20,1,run-away,Run Away,0
raticate,20,2,guts,Guts,0
raticate,20,3,hustle,Hustle,1
