evolution_chain_id,from_species_slug,to_species_slug,from_stage,to_stage,trigger,min_level,item,held_item,known_move,time_of_day
1,bulbasaur,ivysaur,0,1,level-up,16.0,,,,
1,ivysaur,venusaur,1,2,level-up,32.0,,,,
2,charmander,charmeleon,0,1,level-up,16.0,,,,
2,charmeleon,charizard,1,2,level-up,36.0,,,,
3,squirtle,wartortle,0,1,level-up,16.0,,,,
3,wartortle,blastoise,1,2,level-up,36.0,,,,
4,caterpie,metapod,0,1,level-up,7.0,,,,
4,metapod,butterfree,1,2,level-up,10.0,,,,
5,weedle,kakuna,0,1,level-up,7.0,,,,
5,kakuna,beedrill,1,2,level-up,10.0,,,,
6,pidgey,pidgeotto,0,1,level-up,18.0,,,,
6,pidgeotto,pidgeot,1,2,level-up,36.0,,,,
7,rattata,raticate,0,1,level-up,20.0,,,,
8,spearow,fearow,0,1,level-up,20.0,,,,
9,ekans,arbok,0,1,level-up,22.0,,,,
10,pichu,pikachu,0,1,level-up,,,,,
10,pikachu,raichu,1,2,use-item,,thunder-stone,,,
11,sandshrew,sandslash,0,1,level-up,22.0,,,,
12,nidoran-f,nidorina,0,1,level-up,16.0,,,,
12,nidorina,nidoqueen,1,2,use-item,,moon-stone,,,
13,nidoran-m,nidorino,0,1,level-up,16.0,,,,
13,nidorino,nidoking,1,2,use-item,,moon-stone,,,
14,cleffa,clefairy,0,1,level-up,,,,,
14,clefairy,clefable,1,2,use-item,,moon-stone,,,
15,vulpix,ninetales,0,1,use-item,,fire-stone,,,
16,igglybuff,jigglypuff,0,1,level-up,,,,,
16,jigglypuff,wigglytuff,1,2,use-item,,moon-stone,,,
17,zubat,golbat,0,1,level-up,22.0,,,,
17,golbat,crobat,1,2,level-up,,,,,
18,oddish,gloom,0,1,level-up,21.0,,,,
18,gloom,vileplume,1,2,use-item,,leaf-stone,,,
18,gloom,bellossom,1,2,use-item,,sun-stone,,,
19,paras,parasect,0,1,level-up,24.0,,,,
20,venonat,venomoth,0,1,level-up,31.0,,,,
21,diglett,dugtrio,0,1,level-up,26.0,,,,
22,meowth,persian,0,1,level-up,28.0,,,,
22,meowth,perrserker,0,1,level-up,28.0,,,,
23,psyduck,golduck,0,1,level-up,33.0,,,,
24,mankey,primeape,0,1,level-up,28.0,,,,
24,primeape,annihilape,1,2,use-move,,,,,
25,growlithe,arcanine,0,1,use-item,,fire-stone,,,
26,poliwag,poliwhirl,0,1,level-up,25.0,,,,
26,poliwhirl,poliwrath,1,2,use-item,,water-stone,,,
26,poliwhirl,politoed,1,2,trade,,,kings-rock,,
27,abra,kadabra,0,1,level-up,16.0,,,,
27,kadabra,alakazam,1,2,trade,,,,,
28,machop,machoke,0,1,level-up,28.0,,,,
28,machoke,machamp,1,2,trade,,,,,
29,bellsprout,weepinbell,0,1,level-up,21.0,,,,
29,weepinbell,victreebel,1,2,use-item,,leaf-stone,,,
30,tentacool,tentacruel,0,1,level-up,30.0,,,,
31,geodude,graveler,0,1,level-up,25.0,,,,
31,graveler,golem,1,2,trade,,,,,
32,ponyta,rapidash,0,1,level-up,40.0,,,,
33,slowpoke,slowbro,0,1,level-up,37.0,,,,
33,slowpoke,slowking,0,1,trade,,,kings-rock,,
34,magnemite,magneton,0,1,level-up,30.0,,,,
34,magneton,magnezone,1,2,level-up,,,,,
35,farfetchd,sirfetchd,0,1,three-critical-hits,,,,,
36,doduo,dodrio,0,1,level-up,31.0,,,,
37,seel,dewgong,0,1,level-up,34.0,,,,
38,grimer,muk,0,1,level-up,38.0,,,,
39,shellder,cloyster,0,1,use-item,,water-stone,,,
40,gastly,haunter,0,1,level-up,25.0,,,,
40,haunter,gengar,1,2,trade,,,,,
41,onix,steelix,0,1,trade,,,metal-coat,,
42,drowzee,hypno,0,1,level-up,26.0,,,,
43,krabby,kingler,0,1,level-up,28.0,,,,
44,voltorb,electrode,0,1,level-up,30.0,,,,
45,exeggcute,exeggutor,0,1,use-item,,leaf-stone,,,
46,cubone,marowak,0,1,level-up,28.0,,,,
47,tyrogue,hitmonlee,0,1,level-up,20.0,,,,
47,tyrogue,hitmonchan,0,1,level-up,20.0,,,,
47,tyrogue,hitmontop,0,1,level-up,20.0,,,,
48,lickitung,lickilicky,0,1,level-up,,,,rollout,
49,koffing,weezing,0,1,level-up,35.0,,,,
50,rhyhorn,rhydon,0,1,level-up,42.0,,,,
50,rhydon,rhyperior,1,2,trade,,,protector,,
51,happiny,chansey,0,1,level-up,,,oval-stone,,day
51,chansey,blissey,1,2,level-up,,,,,
52,tangela,tangrowth,0,1,level-up,,,,ancient-power,
54,horsea,seadra,0,1,level-up,32.0,,,,
54,seadra,kingdra,1,2,trade,,,dragon-scale,,
55,goldeen,seaking,0,1,level-up,33.0,,,,
56,staryu,starmie,0,1,use-item,,water-stone,,,
57,mime-jr,mr-mime,0,1,level-up,,,,mimic,
