canonical_slug,pokemon_id,species_slug,display_name,form_display_name,is_default,is_mega,is_battle_only,form_order,region_tag,form_group
bulbasaur,1,bulbasaur,Bulbasaur,Default Form,1,0,0,1,None,Standard
ivysaur,2,ivysaur,Ivysaur,Default Form,1,0,0,2,None,Standard
venusaur,3,venusaur,Venusaur,Default Form,1,0,0,3,None,Standard
charmander,4,charmander,Charmander,Default Form,1,0,0,5,None,Standard
charmeleon,5,charmeleon,Charmeleon,Default Form,1,0,0,6,None,Standard
charizard,6,charizard,Charizard,Default Form,1,0,0,7,None,Standard
squirtle,7,squirtle,Squirtle,Default Form,1,0,0,10,None,Standard
wartortle,8,wartortle,Wartortle,Default Form,1,0,0,11,None,Standard
blastoise,9,blastoise,Blastoise,Default Form,1,0,0,12,None,Standard
caterpie,10,caterpie,Caterpie,Default Form,1,0,0,14,None,Standard
metapod,11,metapod,Metapod,Default Form,1,0,0,15,None,Standard
butterfree,12,butterfree,Butterfree,Default Form,1,0,0,16,None,Standard
weedle,13,weedle,Weedle,Default Form,1,0,0,17,None,Standard
kakuna,14,kakuna,Kakuna,Default Form,1,0,0,18,None,Standard
beedrill,15,beedrill,Beedrill,Default Form,1,0,0,19,None,Standard
pidgey,16,pidgey,Pidgey,Default Form,1,0,0,21,None,Standard
pidgeotto,17,pidgeotto,Pidgeotto,Default Form,1,0,0,22,None,Standard
pidgeot,18,pidgeot,Pidgeot,Default Form,1,0,0,23,None,Standard
rattata,19,rattata,Rattata,Default Form,1,0,0,25,None,Standard
raticate,20,raticate,Raticate,Default Form,1,0,0,27,None,Standard
spearow,21,spearow,Spearow,Default Form,1,0,0,30,None,Standard
fearow,22,fearow,Fearow,Default Form,1,0,0,31,None,Standard
ekans,23,ekans,Ekans,Default Form,1,0,0,32,None,Standard
arbok,24,arbok,Arbok,Default Form,1,0,0,33,None,Standard
pikachu,25,pikachu,Pikachu,Default Form,1,0,0,35,None,Standard
raichu,26,raichu,Raichu,Default Form,1,0,0,51,None,Standard
sandshrew,27,sandshrew,Sandshrew,Default Form,1,0,0,53,None,Standard
sandslash,28,sandslash,Sandslash,Default Form,1,0,0,55,None,Standard
nidoran-f,29,nidoran-f,Nidoran female,Default Form,1,0,0,57,None,Standard
nidorina,30,nidorina,Nidorina,Default Form,1,0,0,58,None,Standard
nidoqueen,31,nidoqueen,Nidoqueen,Default Form,1,0,0,59,None,Standard
nidoran-m,32,nidoran-m,Nidoran male,Default Form,1,0,0,60,None,Standard
nidorino,33,nidorino,Nidorino,Default Form,1,0,0,61,None,Standard
nidoking,34,nidoking,Nidoking,Default Form,1,0,0,62,None,Standard
clefairy,35,clefairy,Clefairy,Default Form,1,0,0,64,None,Standard
clefable,36,clefable,Clefable,Default Form,1,0,0,65,None,Standard
vulpix,37,vulpix,Vulpix,Default Form,1,0,0,66,None,Standard
ninetales,38,ninetales,Ninetales,Default Form,1,0,0,68,None,Standard
jigglypuff,39,jigglypuff,Jigglypuff,Default Form,1,0,0,71,None,Standard
wigglytuff,40,wigglytuff,Wigglytuff,Default Form,1,0,0,72,None,Standard
zubat,41,zubat,Zubat,Default Form,1,0,0,73,None,Standard
golbat,42,golbat,Golbat,Default Form,1,0,0,74,None,Standard
oddish,43,oddish,Oddish,Default Form,1,0,0,76,None,Standard
gloom,44,gloom,Gloom,Default Form,1,0,0,77,None,Standard
vileplume,45,vileplume,Vileplume,Default Form,1,0,0,78,None,Standard
paras,46,paras,Paras,Default Form,1,0,0,80,None,Standard
parasect,47,parasect,Parasect,Default Form,1,0,0,81,None,Standard
venonat,48,venonat,Venonat,Default Form,1,0,0,82,None,Standard
venomoth,49,venomoth,Venomoth,Default Form,1,0,0,83,None,Standard
diglett,50,diglett,Diglett,Default Form,1,0,0,84,None,Standard
dugtrio,51,dugtrio,Dugtrio,Default Form,1,0,0,86,None,Standard
meowth,52,meowth,Meowth,Default Form,1,0,0,88,None,Standard
persian,53,persian,Persian,Default Form,1,0,0,91,None,Standard
psyduck,54,psyduck,Psyduck,Default Form,1,0,0,93,None,Standard
golduck,55,golduck,Golduck,Default Form,1,0,0,94,None,Standard
mankey,56,mankey,Mankey,Default Form,1,0,0,95,None,Standard
primeape,57,primeape,Primeape,Default Form,1,0,0,96,None,Standard
growlithe,58,growlithe,Growlithe,Default Form,1,0,0,97,None,Standard
arcanine,59,arcanine,Arcanine,Default Form,1,0,0,98,None,Standard
poliwag,60,poliwag,Poliwag,Default Form,1,0,0,99,None,Standard
poliwhirl,61,poliwhirl,Poliwhirl,Default Form,1,0,0,100,None,Standard
poliwrath,62,poliwrath,Poliwrath,Default Form,1,0,0,101,None,Standard
abra,63,abra,Abra,Default Form,1,0,0,103,None,Standard
kadabra,64,kadabra,Kadabra,Default Form,1,0,0,104,None,Standard
alakazam,65,alakazam,Alakazam,Default Form,1,0,0,105,None,Standard
machop,66,machop,Machop,Default Form,1,0,0,107,None,Standard
machoke,67,machoke,Machoke,Default Form,1,0,0,108,None,Standard
machamp,68,machamp,Machamp,Default Form,1,0,0,109,None,Standard
bellsprout,69,bellsprout,Bellsprout,Default Form,1,0,0,110,None,Standard
weepinbell,70,weepinbell,Weepinbell,Default Form,1,0,0,111,None,Standard
victreebel,71,victreebel,Victreebel,Default Form,1,0,0,112,None,Standard
tentacool,72,tentacool,Tentacool,Default Form,1,0,0,113,None,Standard
tentacruel,73,tentacruel,Tentacruel,Default Form,1,0,0,114,None,Standard
geodude,74,geodude,Geodude,Default Form,1,0,0,115,None,Standard
graveler,75,graveler,Graveler,Default Form,1,0,0,117,None,Standard
golem,76,golem,Golem,Default Form,1,0,0,119,None,Standard
ponyta,77,ponyta,Ponyta,Default Form,1,0,0,121,None,Standard
rapidash,78,rapidash,Rapidash,Default Form,1,0,0,123,None,Standard
slowpoke,79,slowpoke,Slowpoke,Default Form,1,0,0,125,None,Standard
slowbro,80,slowbro,Slowbro,Default Form,1,0,0,127,None,Standard
magnemite,81,magnemite,Magnemite,Default Form,1,0,0,132,None,Standard
magneton,82,magneton,Magneton,Default Form,1,0,0,133,None,Standard
farfetchd,83,farfetchd,Farfetchd,Default Form,1,0,0,135,None,Standard
doduo,84,doduo,Doduo,Default Form,1,0,0,137,None,Standard
dodrio,85,dodrio,Dodrio,Default Form,1,0,0,138,None,Standard
seel,86,seel,Seel,Default Form,1,0,0,139,None,Standard
dewgong,87,dewgong,Dewgong,Default Form,1,0,0,140,None,Standard
grimer,88,grimer,Grimer,Default Form,1,0,0,141,None,Standard
muk,89,muk,Muk,Default Form,1,0,0,143,None,Standard
shellder,90,shellder,Shellder,Default Form,1,0,0,145,None,Standard
cloyster,91,cloyster,Cloyster,Default Form,1,0,0,146,None,Standard
gastly,92,gastly,Gastly,Default Form,1,0,0,147,None,Standard
haunter,93,haunter,Haunter,Default Form,1,0,0,148,None,Standard
gengar,94,gengar,Gengar,Default Form,1,0,0,149,None,Standard
onix,95,onix,Onix,Default Form,1,0,0,151,None,Standard
drowzee,96,drowzee,Drowzee,Default Form,1,0,0,154,None,Standard
hypno,97,hypno,Hypno,Default Form,1,0,0,155,None,Standard
krabby,98,krabby,Krabby,Default Form,1,0,0,156,None,Standard
kingler,99,kingler,Kingler,Default Form,1,0,0,157,None,Standard
voltorb,100,voltorb,Voltorb,Default Form,1,0,0,158,None,Standard
electrode,101,electrode,Electrode,Default Form,1,0,0,159,None,Standard
exeggcute,102,exeggcute,Exeggcute,Default Form,1,0,0,160,None,Standard
exeggutor,103,exeggutor,Exeggutor,Default Form,1,0,0,161,None,Standard
cubone,104,cubone,Cubone,Default Form,1,0,0,163,None,Standard
marowak,105,marowak,Marowak,Default Form,1,0,0,164,None,Standard
hitmonlee,106,hitmonlee,Hitmonlee,Default Form,1,0,0,168,None,Standard
hitmonchan,107,hitmonchan,Hitmonchan,Default Form,1,0,0,169,None,Standard
lickitung,108,lickitung,Lickitung,Default Form,1,0,0,171,None,Standard
koffing,109,koffing,Koffing,Default Form,1,0,0,173,None,Standard
weezing,110,weezing,Weezing,Default Form,1,0,0,174,None,Standard
rhyhorn,111,rhyhorn,Rhyhorn,Default Form,1,0,0,176,None,Standard
rhydon,112,rhydon,Rhydon,Default Form,1,0,0,177,None,Standard
chansey,113,chansey,Chansey,Default Form,1,0,0,180,None,Standard
tangela,114,tangela,Tangela,Default Form,1,0,0,182,None,Standard
kangaskhan,115,kangaskhan,Kangaskhan,Default Form,1,0,0,184,None,Standard
horsea,116,horsea,Horsea,Default Form,1,0,0,186,None,Standard
seadra,117,seadra,Seadra,Default Form,1,0,0,187,None,Standard
goldeen,118,goldeen,Goldeen,Default Form,1,0,0,189,None,Standard
seaking,119,seaking,Seaking,Default Form,1,0,0,190,None,Standard
staryu,120,staryu,Staryu,Default Form,1,0,0,191,None,Standard
starmie,121,starmie,Starmie,Default Form,1,0,0,192,None,Standard
mr-mime,122,mr-mime,Mr maleime,Default Form,1,0,0,194,None,Standard
scyther,123,scyther,Scyther,Default Form,1,0,0,196,None,Standard
jynx,124,jynx,Jynx,Default Form,1,0,0,200,None,Standard
electabuzz,125,electabuzz,Electabuzz,Default Form,1,0,0,202,None,Standard
magmar,126,magmar,Magmar,Default Form,1,0,0,205,None,Standard
pinsir,127,pinsir,Pinsir,Default Form,1,0,0,207,None,Standard
tauros,128,tauros,Tauros,Default Form,1,0,0,209,None,Standard
magikarp,129,magikarp,Magikarp,Default Form,1,0,0,210,None,Standard
gyarados,130,gyarados,Gyarados,Default Form,1,0,0,211,None,Standard
lapras,131,lapras,Lapras,Default Form,1,0,0,213,None,Standard
ditto,132,ditto,Ditto,Default Form,1,0,0,214,None,Standard
eevee,133,eevee,Eevee,Default Form,1,0,0,215,None,Standard
vaporeon,134,vaporeon,Vaporeon,Default Form,1,0,0,217,None,Standard
jolteon,135,jolteon,Jolteon,Default Form,1,0,0,218,None,Standard
flareon,136,flareon,Flareon,Default Form,1,0,0,219,None,Standard
porygon,137,porygon,Porygon,Default Form,1,0,0,225,None,Standard
omanyte,138,omanyte,Omanyte,Default Form,1,0,0,228,None,Standard
omastar,139,omastar,Omastar,Default Form,1,0,0,229,None,Standard
kabuto,140,kabuto,Kabuto,Default Form,1,0,0,230,None,Standard
kabutops,141,kabutops,Kabutops,Default Form,1,0,0,231,None,Standard
aerodactyl,142,aerodactyl,Aerodactyl,Default Form,1,0,0,232,None,Standard
snorlax,143,snorlax,Snorlax,Default Form,1,0,0,235,None,Standard
articuno,144,articuno,Articuno,Default Form,1,0,0,236,None,Standard
zapdos,145,zapdos,Zapdos,Default Form,1,0,0,238,None,Standard
moltres,146,moltres,Moltres,Default Form,1,0,0,240,None,Standard
dratini,147,dratini,Dratini,Default Form,1,0,0,242,None,Standard
dragonair,148,dragonair,Dragonair,Default Form,1,0,0,243,None,Standard
dragonite,149,dragonite,Dragonite,Default Form,1,0,0,244,None,Standard
mewtwo,150,mewtwo,Mewtwo,Default Form,1,0,0,245,None,Standard
mew,151,mew,Mew,Default Form,1,0,0,248,None,Standard
chikorita,152,chikorita,Chikorita,Default Form,1,0,0,249,None,Standard
bayleef,153,bayleef,Bayleef,Default Form,1,0,0,250,None,Standard
meganium,154,meganium,Meganium,Default Form,1,0,0,251,None,Standard
cyndaquil,155,cyndaquil,Cyndaquil,Default Form,1,0,0,252,None,Standard
quilava,156,quilava,Quilava,Default Form,1,0,0,253,None,Standard
typhlosion,157,typhlosion,Typhlosion,Default Form,1,0,0,254,None,Standard
totodile,158,totodile,Totodile,Default Form,1,0,0,255,None,Standard
croconaw,159,croconaw,Croconaw,Default Form,1,0,0,256,None,Standard
feraligatr,160,feraligatr,Feraligatr,Default Form,1,0,0,257,None,Standard
sentret,161,sentret,Sentret,Default Form,1,0,0,258,None,Standard
furret,162,furret,Furret,Default Form,1,0,0,259,None,Standard
hoothoot,163,hoothoot,Hoothoot,Default Form,1,0,0,260,None,Standard
noctowl,164,noctowl,Noctowl,Default Form,1,0,0,261,None,Standard
ledyba,165,ledyba,Ledyba,Default Form,1,0,0,262,None,Standard
ledian,166,ledian,Ledian,Default Form,1,0,0,263,None,Standard
spinarak,167,spinarak,Spinarak,Default Form,1,0,0,264,None,Standard
ariados,168,ariados,Ariados,Default Form,1,0,0,265,None,Standard
crobat,169,crobat,Crobat,Default Form,1,0,0,75,None,Standard
chinchou,170,chinchou,Chinchou,Default Form,1,0,0,266,None,Standard
lanturn,171,lanturn,Lanturn,Default Form,1,0,0,267,None,Standard
pichu,172,pichu,Pichu,Default Form,1,0,0,34,None,Standard
cleffa,173,cleffa,Cleffa,Default Form,1,0,0,63,None,Standard
igglybuff,174,igglybuff,Igglybuff,Default Form,1,0,0,70,None,Standard
togepi,175,togepi,Togepi,Default Form,1,0,0,268,None,Standard
