canonical_slug,pokemon_id,move_name,move_display_name,move_type,damage_class,power,accuracy,pp
bulbasaur,1,acid-spray,Acid Spray,Poison,special,40.0,100.0,20
bulbasaur,1,amnesia,Amnesia,Psychic,status,,,20
bulbasaur,1,attract,Attract,Normal,status,,100.0,15
bulbasaur,1,bide,Bide,Normal,physical,,,10
bulbasaur,1,bind,Bind,Normal,physical,15.0,85.0,20
bulbasaur,1,body-slam,Body Slam,Normal,physical,85.0,100.0,15
bulbasaur,1,bullet-seed,Bullet Seed,Grass,physical,25.0,100.0,30
bulbasaur,1,captivate,Captivate,Normal,status,,100.0,20
bulbasaur,1,charm,Charm,Fairy,status,,100.0,20
bulbasaur,1,confide,Confide,Normal,status,,,20
bulbasaur,1,curse,Curse,Ghost,status,,,10
bulbasaur,1,cut,Cut,Normal,physical,50.0,95.0,30
bulbasaur,1,defense-curl,Defense Curl,Normal,status,,,40
bulbasaur,1,double-edge,Double Edge,Normal,physical,120.0,100.0,15
bulbasaur,1,double-team,Double Team,Normal,status,,,15
bulbasaur,1,echoed-voice,Echoed Voice,Normal,special,40.0,100.0,15
bulbasaur,1,endure,Endure,Normal,status,,,10
bulbasaur,1,energy-ball,Energy Ball,Grass,special,90.0,100.0,10
bulbasaur,1,facade,Facade,Normal,physical,70.0,100.0,20
bulbasaur,1,false-swipe,False Swipe,Normal,physical,40.0,100.0,40
bulbasaur,1,flash,Flash,Normal,status,,100.0,20
bulbasaur,1,frustration,Frustration,Normal,physical,,100.0,20
bulbasaur,1,fury-cutter,Fury Cutter,Bug,physical,40.0,95.0,20
bulbasaur,1,giga-drain,Giga Drain,Grass,special,75.0,100.0,10
bulbasaur,1,grass-knot,Grass Knot,Grass,special,,100.0,20
bulbasaur,1,grass-pledge,Grass Pledge,Grass,special,80.0,100.0,10
bulbasaur,1,grass-whistle,Grass Whistle,Grass,status,,55.0,15
bulbasaur,1,grassy-glide,Grassy Glide,Grass,physical,55.0,100.0,20
bulbasaur,1,grassy-terrain,Grassy Terrain,Grass,status,,,10
bulbasaur,1,growl,Growl,Normal,status,,100.0,40
bulbasaur,1,growth,Growth,Normal,status,,,20
bulbasaur,1,headbutt,Headbutt,Normal,physical,70.0,100.0,15
bulbasaur,1,helping-hand,Helping Hand,Normal,status,,,20
bulbasaur,1,hidden-power,Hidden Power,Normal,special,60.0,100.0,15
bulbasaur,1,ingrain,Ingrain,Grass,status,,,20
bulbasaur,1,knock-off,Knock Off,Dark,physical,65.0,100.0,20
bulbasaur,1,leaf-storm,Leaf Storm,Grass,special,130.0,90.0,5
bulbasaur,1,leech-seed,Leech Seed,Grass,status,,90.0,10
bulbasaur,1,light-screen,Light Screen,Psychic,status,,,30
bulbasaur,1,magical-leaf,Magical Leaf,Grass,special,60.0,,20
bulbasaur,1,mega-drain,Mega Drain,Grass,special,40.0,100.0,15
bulbasaur,1,mimic,Mimic,Normal,status,,,10
bulbasaur,1,mud-slap,Mud Slap,Ground,special,20.0,100.0,10
bulbasaur,1,natural-gift,Natural Gift,Normal,physical,,100.0,15
bulbasaur,1,nature-power,Nature Power,Normal,status,,,20
bulbasaur,1,outrage,Outrage,Dragon,physical,120.0,100.0,10
bulbasaur,1,petal-dance,Petal Dance,Grass,special,120.0,100.0,10
