species_slug,species_display_name,dexnum_int,generation,gender_rate,capture_rate,base_happiness,hatch_counter,is_baby,is_legendary,is_mythical,color,shape,habitat,generation_name,growth_rate,egg_group1,egg_group2,percent_male,percent_female,evolution_chain_id,genus_en
bulbasaur,Bulbasaur,1,1,1,45,70,20,0,0,0,Green,Quadruped,Grassland,generation-i,Medium Slow,Monster,Plant,87.5,12.5,1,Seed Pokémon
ivysaur,Ivysaur,2,1,1,45,70,20,0,0,0,Green,Quadruped,Grassland,generation-i,Medium Slow,Monster,Plant,87.5,12.5,1,Seed Pokémon
venusaur,Venusaur,3,1,1,45,70,20,0,0,0,Green,Quadruped,Grassland,generation-i,Medium Slow,Monster,Plant,87.5,12.5,1,Seed Pokémon
charmander,Charmander,4,1,1,45,70,20,0,0,0,Red,Upright,Mountain,generation-i,Medium Slow,Monster,Dragon,87.5,12.5,2,Lizard Pokémon
charmeleon,Charmeleon,5,1,1,45,70,20,0,0,0,Red,Upright,Mountain,generation-i,Medium Slow,Monster,Dragon,87.5,12.5,2,Flame Pokémon
charizard,Charizard,6,1,1,45,70,20,0,0,0,Red,Upright,Mountain,generation-i,Medium Slow,Monster,Dragon,87.5,12.5,2,Flame Pokémon
squirtle,Squirtle,7,1,1,45,70,20,0,0,0,Blue,Upright,Waters Edge,generation-i,Medium Slow,Monster,Water1,87.5,12.5,3,Tiny Turtle Pokémon
wartortle,Wartortle,8,1,1,45,70,20,0,0,0,Blue,Upright,Waters Edge,generation-i,Medium Slow,Monster,Water1,87.5,12.5,3,Turtle Pokémon
blastoise,Blastoise,9,1,1,45,70,20,0,0,0,Blue,Upright,Waters Edge,generation-i,Medium Slow,Monster,Water1,87.5,12.5,3,Shellfish Pokémon
caterpie,Caterpie,10,1,4,255,70,15,0,0,0,Green,Armor,Forest,generation-i,Medium,Bug,Unknown,50.0,50.0,4,Worm Pokémon
metapod,Metapod,11,1,4,120,70,15,0,0,0,Green,Squiggle,Forest,generation-i,Medium,Bug,Unknown,50.0,50.0,4,Cocoon Pokémon
butterfree,Butterfree,12,1,4,45,70,15,0,0,0,White,Bug Wings,Forest,generation-i,Medium,Bug,Unknown,50.0,50.0,4,Butterfly Pokémon
weedle,Weedle,13,1,4,255,70,15,0,0,0,Brown,Armor,Forest,generation-i,Medium,Bug,Unknown,50.0,50.0,5,Hairy Bug Pokémon
kakuna,Kakuna,14,1,4,120,70,15,0,0,0,Yellow,Squiggle,Forest,generation-i,Medium,Bug,Unknown,50.0,50.0,5,Cocoon Pokémon
beedrill,Beedrill,15,1,4,45,70,15,0,0,0,Yellow,Bug Wings,Forest,generation-i,Medium,Bug,Unknown,50.0,50.0,5,Poison Bee Pokémon
pidgey,Pidgey,16,1,4,255,70,15,0,0,0,Brown,Wings,Forest,generation-i,Medium Slow,Flying,Unknown,50.0,50.0,6,Tiny Bird Pokémon
pidgeotto,Pidgeotto,17,1,4,120,70,15,0,0,0,Brown,Wings,Forest,generation-i,Medium Slow,Flying,Unknown,50.0,50.0,6,Bird Pokémon
pidgeot,Pidgeot,18,1,4,45,70,15,0,0,0,Brown,Wings,Forest,generation-i,Medium Slow,Flying,Unknown,50.0,50.0,6,Bird Pokémon
rattata,Rattata,19,1,4,255,70,15,0,0,0,Purple,Quadruped,Grassland,generation-i,Medium,Ground,Unknown,50.0,50.0,7,Mouse Pokémon
raticate,Raticate,20,1,4,127,70,15,0,0,0,Brown,Quadruped,Grassland,generation-i,Medium,Ground,Unknown,50.0,50.0,7,Mouse Pokémon
spearow,Spearow,21,1,4,255,70,15,0,0,0,Brown,Wings,Rough Terrain,generation-i,Medium,Flying,Unknown,50.0,50.0,8,Tiny Bird Pokémon
fearow,Fearow,22,1,4,90,70,15,0,0,0,Brown,Wings,Rough Terrain,generation-i,Medium,Flying,Unknown,50.0,50.0,8,Beak Pokémon
ekans,Ekans,23,1,4,255,70,20,0,0,0,Purple,Squiggle,Grassland,generation-i,Medium,Ground,Dragon,50.0,50.0,9,Snake Pokémon
arbok,Arbok,24,1,4,90,70,20,0,0,0,Purple,Squiggle,Grassland,generation-i,Medium,Ground,Dragon,50.0,50.0,9,Cobra Pokémon
pikachu,Pikachu,25,1,4,190,70,10,0,0,0,Yellow,Quadruped,Forest,generation-i,Medium,Ground,Fairy,50.0,50.0,10,Mouse Pokémon
