canonical_slug,pokemon_id,slot,type_name
bulbasaur,1,1,Grass
bulbasaur,1,2,Poison
ivysaur,2,1,Grass
ivysaur,2,2,Poison
venusaur,3,1,Grass
venusaur,3,2,Poison
charmander,4,1,Fire
charmeleon,5,1,Fire
charizard,6,1,Fire
charizard,6,2,Flying
squirtle,7,1,Water
wartortle,8,1,Water
blastoise,9,1,Water
caterpie,10,1,Bug
metapod,11,1,Bug
butterfree,12,1,Bug
butterfree,12,2,Flying
weedle,13,1,Bug
weedle,13,2,Poison
kakuna,14,1,Bug
kakuna,14,2,Poison
beedrill,15,1,Bug
beedrill,15,2,Poison
pidgey,16,1,Normal
pidgey,16,2,Flying
pidgeotto,17,1,Normal
pidgeotto,17,2,Flying
pidgeot,18,1,Normal
pidgeot,18,2,Flying
rattata,19,1,Normal
raticate,20,1,Normal
spearow,21,1,Normal
spearow,21,2,Flying
fearow,22,1,Normal
fearow,22,2,Flying
ekans,23,1,Poison
arbok,24,1,Poison
pikachu,25,1,Electric
raichu,26,1,Electric
sandshrew,27,1,Ground
sandslash,28,1,Ground
nidoran-f,29,1,Poison
nidorina,30,1,Poison
nidoqueen,31,1,Poison
nidoqueen,31,2,Ground
nidoran-m,32,1,Poison
nidorino,33,1,Poison
nidoking,34,1,Poison
nidoking,34,2,Ground
clefairy,35,1,Fairy
clefable,36,1,Fairy
vulpix,37,1,Fire
ninetales,38,1,Fire
jigglypuff,39,1,Normal
jigglypuff,39,2,Fairy
wigglytuff,40,1,Normal
wigglytuff,40,2,Fairy
zubat,41,1,Poison
zubat,41,2,Flying
golbat,42,1,Poison
golbat,42,2,Flying
oddish,43,1,Grass
oddish,43,2,Poison
gloom,44,1,Grass
gloom,44,2,Poison
vileplume,45,1,Grass
vileplume,45,2,Poison
paras,46,1,Bug
paras,46,2,Grass
parasect,47,1,Bug
parasect,47,2,Grass
venonat,48,1,Bug
venonat,48,2,Poison
venomoth,49,1,Bug
venomoth,49,2,Poison
diglett,50,1,Ground
dugtrio,51,1,Ground
meowth,52,1,Normal
persian,53,1,Normal
psyduck,54,1,Water
golduck,55,1,Water
mankey,56,1,Fighting
primeape,57,1,Fighting
growlithe,58,1,Fire
arcanine,59,1,Fire
poliwag,60,1,Water
poliwhirl,61,1,Water
poliwrath,62,1,Water
poliwrath,62,2,Fighting
abra,63,1,Psychic
kadabra,64,1,Psychic
alakazam,65,1,Psychic
machop,66,1,Fighting
machoke,67,1,Fighting
machamp,68,1,Fighting
bellsprout,69,1,Grass
bellsprout,69,2,Poison
weepinbell,70,1,Grass
weepinbell,70,2,Poison
victreebel,71,1,Grass
victreebel,71,2,Poison
tentacool,72,1,Water
tentacool,72,2,Poison
tentacruel,73,1,Water
tentacruel,73,2,Poison
geodude,74,1,Rock
geodude,74,2,Ground
graveler,75,1,Rock
graveler,75,2,Ground
golem,76,1,Rock
golem,76,2,Ground
ponyta,77,1,Fire
rapidash,78,1,Fire
slowpoke,79,1,Water
slowpoke,79,2,Psychic
slowbro,80,1,Water
slowbro,80,2,Psychic
magnemite,81,1,Electric
magnemite,81,2,Steel
magneton,82,1,Electric
magneton,82,2,Steel
farfetchd,83,1,Normal
farfetchd,83,2,Flying
doduo,84,1,Normal
doduo,84,2,Flying
dodrio,85,1,Normal
dodrio,85,2,Flying
seel,86,1,Water
dewgong,87,1,Water
dewgong,87,2,Ice
grimer,88,1,Poison
muk,89,1,Poison
shellder,90,1,Water
cloyster,91,1,Water
cloyster,91,2,Ice
gastly,92,1,Ghost
gastly,92,2,Poison
haunter,93,1,Ghost
haunter,93,2,Poison
gengar,94,1,Ghost
gengar,94,2,Poison
onix,95,1,Rock
onix,95,2,Ground
drowzee,96,1,Psychic
hypno,97,1,Psychic
krabby,98,1,Water
kingler,99,1,Water
voltorb,100,1,Electric
electrode,101,1,Electric
exeggcute,102,1,Grass
exeggcute,102,2,Psychic
exeggutor,103,1,Grass
exeggutor,103,2,Psychic
cubone,104,1,Ground
marowak,105,1,Ground
hitmonlee,106,1,Fighting
hitmonchan,107,1,Fighting
lickitung,108,1,Normal
koffing,109,1,Poison
weezing,110,1,Poison
rhyhorn,111,1,Ground
rhyhorn,111,2,Rock
rhydon,112,1,Ground
rhydon,112,2,Rock
chansey,113,1,Normal
tangela,114,1,Grass
kangaskhan,115,1,Normal
horsea,116,1,Water
seadra,117,1,Water
goldeen,118,1,Water
seaking,119,1,Water
staryu,120,1,Water
starmie,121,1,Water
starmie,121,2,Psychic
mr-mime,122,1,Psychic
mr-mime,122,2,Fairy
scyther,123,1,Bug
scyther,123,2,Flying
jynx,124,1,Ice
jynx,124,2,Psychic
electabuzz,125,1,Electric
magmar,126,1,Fire
pinsir,127,1,Bug
tauros,128,1,Normal
magikarp,129,1,Water
gyarados,130,1,Water
gyarados,130,2,Flying
lapras,131,1,Water
lapras,131,2,Ice
ditto,132,1,Normal
eevee,133,1,Normal
vaporeon,134,1,Water
jolteon,135,1,Electric
flareon,136,1,Fire
porygon,137,1,Normal
omanyte,138,1,Rock
omanyte,138,2,Water
omastar,139,1,Rock
omastar,139,2,Water
kabuto,140,1,Rock
kabuto,140,2,Water
