,,,,,,,,,,
编号,名称,类型,属性,HP,攻击,防御,特攻,特防,速度,图片链接
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png
3,Venusaur,Grass,Poison,80,82,83,100,100,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png
4,Charmander,Fire, ,39,52,43,60,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png
5,Charmeleon,Fire, ,58,64,58,80,65,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png
6,Charizard,Fire,Flying,78,84,78,109,85,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png
7,Squirtle,Water, ,44,48,65,50,64,43,https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png
8,Wartortle,Water, ,59,63,80,65,80,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png
9,Blastoise,Water, ,79,83,100,85,105,78,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png
10,Caterpie,Bug, ,45,30,35,20,20,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png
11,Metapod,Bug, ,50,20,55,25,25,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png
12,Butterfree,Bug,Flying,60,45,50,90,80,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png
13,Weedle,Bug,Poison,40,35,30,20,20,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png
14,Kakuna,Bug,Poison,45,25,50,25,25,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png
15,Beedrill,Bug,Poison,65,90,40,45,80,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png
16,Pidgey,Normal,Flying,40,45,40,35,35,56,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png
19,Rattata,Normal, ,30,56,35,25,35,72,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png
20,Raticate,Normal, ,55,81,60,50,70,97,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png
21,Spearow,Normal,Flying,40,60,30,31,31,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/spearow.png
22,Fearow,Normal,Flying,65,90,65,61,61,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/fearow.png
23,Ekans,Poison, ,35,60,44,40,54,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/ekans.png
24,Arbok,Poison, ,60,95,69,65,79,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/arbok.png
25,Pikachu,Electric, ,35,55,40,50,50,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png
26,Raichu,Electric, ,60,90,55,90,80,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png
27,Sandshrew,Ground, ,50,75,85,20,30,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew.png
28,Sandslash,Ground, ,75,100,110,45,55,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash.png
29,Female,Poison, ,55,47,52,40,40,41,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-female.png
30,Nidorina,Poison, ,70,62,67,55,55,56,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorina.png
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoqueen.png
32,Male,Poison, ,46,57,40,40,40,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-male.png
33,Nidorino,Poison, ,61,72,57,55,55,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorino.png
34,Nidoking,Poison,Ground,81,102,77,85,75,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoking.png
35,Clefairy,Fairy, ,70,45,48,60,65,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefairy.png
36,Clefable,Fairy, ,95,70,73,95,90,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefable.png
37,Vulpix,Fire, ,38,41,40,50,65,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix.png
38,Ninetales,Fire, ,73,76,75,81,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales.png
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png
41,Zubat,Poison,Flying,40,45,35,30,40,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/zubat.png
42,Golbat,Poison,Flying,75,80,70,65,75,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/golbat.png
